2026-01-28 03:52:57,806 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:57,807 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:57,807 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/shop-by-product/clothing/view-all.html
2026-01-28 03:52:57,859 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/shop-by-product/clothing/view-all.html is 403
2026-01-28 03:52:57,859 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:52:57,859 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:52:57,859 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:52:58,534 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:58,534 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:58,534 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:58,534 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/products/clothing/view-all.html
2026-01-28 03:52:58,763 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/products/clothing/view-all.html is 200
2026-01-28 03:52:59,340 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:59,340 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:59,340 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:59,340 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/textiles/view-all.html
2026-01-28 03:52:59,394 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/textiles/view-all.html is 403
2026-01-28 03:52:59,394 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:52:59,394 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:52:59,394 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:52:59,972 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:52:59,973 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:52:59,973 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:52:59,973 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/kids/boys-9-14y/accessories/view-all.html
2026-01-28 03:53:00,072 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/kids/boys-9-14y/accessories/view-all.html is 403
2026-01-28 03:53:00,072 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:53:00,072 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:53:00,073 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:53:00,736 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:53:00,736 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:53:00,736 | INFO | handm_scraper | successfully fetched 0 links
